SaleDate,StoreID,ProductID,UnitsSold,Revenue
18/04/2018,1005,2018,7,59.92
29/12/2018,1002,2002,2,15.41
27/01/2022,1003,2018,3,14.65
19/11/2019,1002,2015,3,10.39
17/02/2021,1003,2001,9,77.44
23/06/2021,1003,2011,4,13.09
29/01/2018,1002,2007,8,82.96
27/06/2022,1004,2006,8,34.38
26/08/2021,1004,2002,4,17.06
28/07/2018,1002,2005,3,9.78
01/02/2021,1005,2010,10,86.87
24/02/2018,1004,2017,6,50.52
23/10/2018,1002,2010,4,19.85
31/05/2018,1002,2020,7,48.85
28/08/2019,1005,2008,3,9.88
24/11/2018,1005,2020,5,47.39
12/08/2021,1004,2007,2,15.86
24/06/2018,1001,2020,5,43.26
04/01/2021,1005,2010,2,13.76
23/01/2021,1003,2001,5,37.96
08/08/2021,1004,2002,9,70.59
29/04/2018,1003,2002,8,49.12
28/02/2018,1001,2006,1,5.64
26/02/2018,1004,2001,6,36.37
06/01/2018,1005,2011,2,11.31
01/08/2020,1001,2003,7,45.39
11/02/2021,1002,2018,6,40.12
14/04/2022,1005,2001,5,37.16
10/11/2021,1002,2009,9,46.87
28/03/2021,1002,2012,2,19.98
06/09/2020,1002,2016,1,12.82
03/10/2019,1003,2009,4,48.18
28/11/2020,1001,2014,2,33.1
26/04/2018,1003,2020,2,10.47
04/10/2020,1002,2013,7,57.48
11/02/2020,1002,2016,10,74.24
07/01/2020,1003,2005,4,17.58
13/06/2021,1001,2018,8,62.18
03/03/2018,1001,2001,3,8.31
08/12/2022,1005,2007,8,75.81
25/03/2022,1002,2007,4,41.62
28/09/2018,1004,2003,9,67.93
15/01/2020,1004,2004,5,15.93
09/07/2019,1002,2018,6,27.28
24/08/2021,1005,2020,7,56.77
18/06/2019,1004,2003,2,5.96
15/09/2020,1004,2002,6,52.26
04/12/2018,1003,2019,7,56.95
28/10/2021,1001,2011,2,11.84
04/01/2020,1003,2003,4,26.28
17/06/2018,1005,2013,5,47.83
06/07/2019,1005,2008,5,16.95
01/04/2018,1001,2011,4,47.42
26/09/2021,1002,2001,8,57.58
18/06/2020,1002,2016,7,95.56
04/12/2019,1004,2010,7,53.48
22/06/2020,1002,2013,4,20.61
07/10/2018,1001,2010,2,12.05
29/04/2018,1003,2015,5,44.76
18/08/2021,1002,2017,9,88.14
06/09/2021,1003,2003,4,25.2
14/07/2020,1002,2014,10,127.12
11/01/2021,1002,2010,1,9.83
20/06/2020,1001,2009,3,24.19
08/10/2018,1002,2008,6,51.62
28/11/2022,1004,2015,3,7.5
03/09/2021,1001,2017,2,15.07
14/09/2019,1005,2013,10,64.32
18/02/2020,1002,2019,9,54.86
30/08/2018,1001,2011,2,10.46
17/06/2022,1005,2003,10,60.96
28/06/2019,1003,2009,8,52.29
28/07/2021,1002,2004,4,25.19
30/03/2018,1004,2020,7,98.94
28/01/2021,1002,2005,1,5.09
29/05/2020,1002,2018,6,29.84
08/02/2018,1003,2009,9,53.01
05/01/2022,1004,2001,2,6.07
04/02/2019,1005,2018,7,73.1
20/11/2018,1002,2004,4,36.4
16/11/2022,1004,2013,8,54.1
25/11/2021,1004,2006,9,53.84
13/01/2022,1001,2007,3,16.95
02/02/2020,1003,2016,7,65.97
27/07/2020,1005,2012,8,58.42
06/11/2021,1002,2019,2,9.35
04/10/2019,1002,2003,5,21.3
04/08/2021,1002,2017,5,51.59
16/09/2021,1004,2009,3,21.65
25/01/2020,1003,2019,10,57.96
05/06/2019,1001,2012,7,46.63
21/01/2022,1002,2008,9,58.42
08/03/2022,1005,2020,7,57.27
05/06/2019,1001,2005,6,28.97
05/09/2021,1003,2003,3,13.52
02/10/2018,1002,2009,1,5.3
03/08/2019,1001,2013,8,32.13
25/03/2018,1001,2016,2,7.72
15/09/2018,1004,2012,9,93.14
07/10/2020,1003,2005,7,57.63
02/07/2019,1005,2017,2,13.4
20/08/2020,1001,2014,4,16
03/05/2020,1005,2014,2,12.58
30/01/2019,1004,2011,9,43.6
15/12/2021,1001,2014,10,59.48
02/02/2019,1001,2006,10,101.34
28/11/2019,1003,2003,4,13.34
13/06/2018,1005,2006,7,51.38
01/02/2020,1004,2010,1,4.77
05/06/2020,1005,2014,4,22.67
19/03/2019,1005,2018,7,59.87
24/01/2022,1005,2019,1,9.82
25/01/2018,1005,2016,6,46.62
19/06/2020,1005,2013,7,40.88
23/07/2019,1003,2016,9,77.05
25/05/2022,1005,2009,3,20.64
21/11/2018,1001,2001,2,21.17
19/11/2022,1005,2003,3,20.68
28/09/2018,1002,2015,8,49.12
16/10/2018,1003,2017,2,6.72
28/01/2021,1002,2019,5,48.63
27/12/2020,1001,2011,6,47.67
07/11/2021,1004,2008,7,96.11
11/10/2019,1001,2015,1,10.17
18/12/2018,1004,2014,8,40.66
13/08/2021,1001,2009,3,19.23
19/05/2018,1001,2014,4,29.65
06/02/2020,1005,2017,4,37.77
27/08/2021,1004,2011,2,18.8
11/03/2022,1001,2010,7,56.24
21/10/2022,1002,2014,10,47.9
15/06/2021,1004,2019,3,18.38
22/03/2020,1004,2001,7,29.39
04/03/2020,1001,2008,7,38.7
26/05/2022,1002,2008,7,46.33
21/06/2018,1002,2001,3,31.58
18/11/2018,1005,2020,10,21.36
27/09/2021,1003,2013,1,7.66
28/02/2022,1001,2017,1,6.51
18/06/2022,1005,2006,6,34.54
27/06/2022,1005,2001,8,70.36
25/01/2018,1004,2004,4,15.72
26/11/2021,1003,2010,1,7.07
23/02/2022,1001,2004,7,35
13/12/2021,1001,2018,6,39.21
25/04/2018,1002,2012,1,5.31
22/06/2020,1003,2015,1,9.89
02/11/2018,1004,2014,7,63.46
03/02/2019,1004,2015,8,63.84
16/12/2022,1002,2013,8,50.7
01/09/2018,1001,2020,6,38.73
30/11/2018,1004,2002,5,13.6
27/11/2021,1004,2007,5,47.7
24/04/2022,1005,2010,8,84.69
12/09/2021,1005,2005,10,51.25
23/03/2021,1004,2006,8,76.09
23/08/2020,1004,2002,3,7.58
03/02/2022,1003,2019,2,12.63
09/08/2021,1001,2012,4,50.92
13/06/2020,1002,2007,6,48.33
16/05/2021,1001,2004,6,33.48
13/10/2022,1001,2019,1,4.32
10/10/2019,1002,2008,1,9.88
18/05/2018,1005,2015,4,14.83
08/12/2022,1003,2008,7,49.87
24/08/2021,1001,2010,10,27.79
01/12/2018,1002,2011,6,34.08
10/02/2020,1001,2016,4,18.56
13/04/2018,1005,2016,4,35.7
08/04/2022,1002,2020,4,38.66
19/09/2021,1001,2003,1,8.64
26/02/2018,1004,2019,9,38.47
16/03/2020,1002,2009,4,41.68
06/01/2020,1002,2002,5,43.05
11/03/2020,1002,2013,3,7.92
16/04/2019,1005,2014,3,14.01
02/12/2020,1002,2012,1,3.77
17/06/2020,1004,2001,9,36.09
16/06/2020,1001,2018,3,12.35
17/05/2020,1004,2016,6,48.83
10/08/2019,1002,2006,1,14.35
14/06/2021,1004,2004,2,11.75
11/05/2022,1004,2020,9,52.65
17/06/2020,1005,2020,7,37.47
28/05/2021,1003,2003,8,36.73
28/11/2022,1003,2001,2,16.39
12/06/2018,1001,2014,9,123.34
10/09/2021,1002,2010,6,39.14
23/04/2022,1001,2005,10,30.04
18/10/2019,1002,2007,10,41.08
07/12/2020,1002,2011,9,88.6
05/08/2022,1005,2005,5,8.56
27/04/2018,1005,2016,1,5.98
21/09/2021,1003,2017,1,3.61
12/04/2018,1002,2004,1,7.56
13/12/2021,1003,2002,4,32.19
25/04/2018,1003,2006,5,34.37
21/09/2022,1005,2018,9,44.97
04/03/2021,1003,2007,8,29.62
13/05/2021,1002,2017,4,22.3
19/08/2021,1005,2016,6,46.38
23/02/2020,1003,2010,6,50.11
24/06/2018,1003,2020,4,23.4
26/06/2018,1005,2004,2,7.14
20/06/2019,1001,2013,9,69.36
