OrderDate,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
05/10/2018,West,Furniture,Chairs,493.82,7,0.39,2108.61
06/04/2022,East,Furniture,Bookcases,1190.69,4,0.34,3143.42
25/03/2018,South,Office Supplies,Storage,396.11,2,0.33,530.79
08/12/2021,East,Furniture,Tables,761.17,8,0.5,3044.68
11/07/2019,South,Electronics,Phones,657.4,2,0.25,986.1
11/11/2021,North,Office Supplies,Storage,748.93,4,0.37,1887.3
04/03/2018,North,Office Supplies,Labels,520.35,6,0.06,2934.77
19/01/2019,West,Electronics,Laptops,838.98,2,0.37,1057.11
05/12/2020,East,Office Supplies,Labels,714.15,9,0.37,4049.23
19/02/2020,North,Office Supplies,Storage,816.51,5,0.62,1551.37
31/05/2020,West,Electronics,Phones,836.58,4,0.57,1438.92
02/05/2019,North,Furniture,Chairs,778.89,10,0.39,4751.23
10/09/2018,East,Office Supplies,Labels,536.65,7,0.64,1352.36
24/09/2021,South,Office Supplies,Storage,365.38,8,0.11,2601.51
04/06/2019,West,Electronics,Accessories,893.17,3,0.56,1178.98
11/11/2022,West,Electronics,Accessories,542.84,3,0.21,1286.53
07/03/2019,North,Furniture,Chairs,804.78,5,0.31,2776.49
10/06/2020,South,Office Supplies,Storage,636.1,8,0.25,3816.6
17/03/2019,East,Electronics,Laptops,678.04,5,0.27,2474.85
28/05/2019,North,Furniture,Chairs,510.81,6,0.12,2697.08
12/06/2019,South,Furniture,Chairs,568.63,8,0.24,3457.27
05/02/2020,West,Furniture,Tables,670.89,10,0.13,5836.74
18/07/2020,East,Office Supplies,Labels,887.64,9,0.47,4234.04
01/10/2018,East,Office Supplies,Art,660.05,3,0.11,1762.33
09/11/2022,East,Electronics,Phones,436.75,1,0.3,305.72
23/10/2018,East,Office Supplies,Storage,1058.15,6,0.12,5587.03
14/02/2018,North,Electronics,Phones,480.97,6,0.43,1644.92
12/10/2022,North,Electronics,Laptops,455.1,3,0.34,901.1
04/05/2021,South,Furniture,Bookcases,448.39,5,0.53,1053.72
10/10/2020,North,Furniture,Tables,1034.14,5,0.64,1861.45
29/07/2022,South,Furniture,Chairs,932.46,5,0.27,3403.48
25/08/2021,West,Furniture,Chairs,725.71,2,0.23,1117.59
10/05/2021,North,Electronics,Phones,649.55,8,0.16,4364.98
07/05/2018,East,Office Supplies,Labels,681.28,7,0.16,4005.93
24/10/2022,North,Office Supplies,Storage,760.47,10,0.12,6692.14
11/09/2021,South,Office Supplies,Storage,507.39,4,0.37,1278.62
21/12/2020,South,Electronics,Phones,684.83,3,0.08,1890.13
22/03/2018,West,Office Supplies,Labels,439.77,4,0.17,1460.04
23/05/2019,West,Furniture,Bookcases,766.11,3,0.2,1838.66
09/11/2019,South,Furniture,Tables,547.44,4,0.24,1664.22
03/12/2022,East,Furniture,Bookcases,597.43,2,0.12,1051.48
23/07/2022,North,Electronics,Phones,310.47,5,0.16,1303.97
14/01/2022,North,Electronics,Accessories,486.37,4,0.26,1439.66
29/07/2018,East,Office Supplies,Labels,681.41,7,0.43,2718.83
14/07/2020,North,Electronics,Laptops,712.68,1,0.4,427.61
09/02/2021,North,Furniture,Tables,766.26,9,0.21,5448.11
06/01/2022,North,Electronics,Accessories,848,7,0.09,5401.76
26/01/2018,West,Electronics,Accessories,368.86,6,0.23,1704.13
26/09/2022,South,Furniture,Bookcases,1157.33,3,0.1,3124.79
26/12/2018,North,Electronics,Laptops,580.21,9,0.57,2245.41
15/02/2018,North,Electronics,Accessories,627.97,4,0.04,2411.4
18/11/2019,East,Furniture,Bookcases,963.19,3,0.4,1733.74
08/05/2019,West,Electronics,Laptops,707.06,9,0.18,5218.1
30/08/2018,West,Electronics,Laptops,1285.11,6,0.22,6014.31
02/03/2018,North,Electronics,Laptops,1014.98,5,0.17,4212.17
04/01/2019,West,Electronics,Laptops,624.54,2,0.19,1011.75
16/12/2021,West,Electronics,Phones,523.95,9,0.37,2970.8
28/11/2022,South,Electronics,Laptops,1485.19,5,0.59,3044.64
05/01/2020,West,Office Supplies,Storage,349.92,5,0.27,1277.21
10/06/2018,West,Office Supplies,Labels,401.5,10,0.13,3493.05
27/09/2022,North,Office Supplies,Art,848.06,8,0.48,3527.93
02/09/2018,East,Furniture,Chairs,650.36,1,0.23,500.78
04/11/2022,North,Electronics,Phones,350.99,2,0.35,456.29
03/07/2020,North,Office Supplies,Storage,633.33,5,0.04,3039.98
21/08/2022,North,Furniture,Tables,978.07,1,0.13,850.92
29/09/2022,West,Office Supplies,Storage,459.08,8,0.03,3562.46
12/03/2019,East,Electronics,Laptops,472.52,9,0.36,2721.72
02/09/2019,South,Furniture,Bookcases,1112.26,3,0.17,2769.53
03/08/2020,South,Furniture,Bookcases,756.82,9,0.09,6198.36
25/02/2022,South,Office Supplies,Art,722.58,6,0.46,2341.16
10/04/2022,North,Electronics,Phones,697.14,5,0.21,2753.7
02/01/2020,South,Electronics,Accessories,557.76,8,0.59,1829.45
13/10/2018,North,Electronics,Accessories,940.29,6,0.38,3497.88
19/11/2021,West,Electronics,Accessories,537.36,9,0.26,3578.82
18/02/2021,South,Office Supplies,Labels,576.71,7,0.53,1897.38
03/02/2022,West,Electronics,Accessories,412.62,3,0.25,928.4
09/08/2019,South,Furniture,Tables,532.97,7,0.37,2350.4
13/04/2022,North,Office Supplies,Labels,610.28,5,0.37,1922.38
26/01/2018,East,Furniture,Bookcases,734.96,9,0.05,6283.91
08/05/2021,West,Electronics,Phones,589.95,1,0.2,471.96
09/01/2022,North,Electronics,Laptops,296.16,3,0.41,524.2
22/01/2021,South,Office Supplies,Storage,413.48,8,0.53,1554.68
16/09/2020,West,Electronics,Laptops,879.36,3,0.17,2189.61
28/07/2020,West,Office Supplies,Labels,314.82,10,0.36,2014.85
11/07/2020,South,Office Supplies,Labels,788.04,8,0.56,2773.9
11/06/2021,East,Office Supplies,Storage,714.31,1,0.14,614.31
17/04/2022,North,Electronics,Laptops,647.63,3,0.43,1107.45
22/09/2018,West,Furniture,Bookcases,676.7,3,0.82,365.42
07/03/2021,North,Electronics,Accessories,753.28,7,0.44,2952.86
05/01/2018,West,Furniture,Chairs,692.11,8,0.43,3156.02
13/11/2021,South,Electronics,Laptops,297.78,8,0.33,1596.1
18/07/2022,East,Office Supplies,Art,860.5,7,0.4,3614.1
23/12/2020,East,Electronics,Phones,312.46,9,0.55,1265.46
26/08/2022,North,Office Supplies,Storage,1360.93,10,0.54,6260.28
13/11/2021,North,Furniture,Tables,762.08,6,0.48,2377.69
03/01/2021,East,Furniture,Tables,902.51,2,0.29,1281.56
16/03/2019,South,Electronics,Laptops,981.76,2,0.36,1256.65
18/01/2018,East,Furniture,Chairs,358.52,8,0.19,2323.21
21/02/2020,South,Office Supplies,Art,781.39,9,0.49,3586.58
23/06/2020,North,Electronics,Phones,577.49,1,0.44,323.39
05/12/2019,East,Furniture,Chairs,531.89,5,0.14,2287.13
19/04/2019,North,Furniture,Bookcases,634.57,9,0.12,5025.79
10/04/2019,North,Electronics,Laptops,502.6,5,0.04,2412.48
28/12/2018,West,Furniture,Tables,574.5,1,0.17,476.83
23/09/2021,South,Electronics,Laptops,365.48,9,0.23,2532.78
07/11/2022,West,Electronics,Laptops,432.29,7,0.44,1694.58
17/07/2022,North,Electronics,Accessories,640.84,1,0.2,512.67
01/06/2021,West,Furniture,Bookcases,543.45,6,0.36,2086.85
15/03/2018,West,Electronics,Laptops,1038.52,2,0.38,1287.76
20/12/2020,West,Office Supplies,Labels,348.19,10,0.13,3029.25
08/02/2019,West,Furniture,Chairs,571.31,2,0.22,891.24
27/10/2021,South,Office Supplies,Labels,874.52,6,0.19,4250.17
19/01/2020,East,Office Supplies,Labels,458.74,10,0.23,3532.3
24/07/2019,South,Electronics,Phones,777.39,6,0.13,4057.98
13/10/2019,South,Furniture,Chairs,452.97,7,0.21,2504.92
30/12/2019,East,Furniture,Bookcases,522.23,4,0.23,1608.47
11/10/2018,North,Electronics,Phones,809.8,2,0.17,1344.27
28/09/2022,North,Furniture,Bookcases,933.4,7,0.17,5423.05
22/02/2020,North,Office Supplies,Labels,1124.03,9,0.33,6777.9
12/02/2022,North,Electronics,Phones,899.22,10,0.17,7463.53
26/05/2022,West,Electronics,Phones,608.25,10,0.42,3527.85
06/03/2020,South,Office Supplies,Storage,539.71,3,0.07,1505.79
11/03/2018,West,Electronics,Laptops,704.22,8,0.41,3323.92
27/11/2020,West,Office Supplies,Storage,654.7,9,0.25,4419.23
17/10/2021,East,Office Supplies,Art,1007.86,10,0.23,7760.52
22/09/2021,North,Furniture,Chairs,743.54,5,0.2,2974.16
14/11/2020,North,Electronics,Laptops,808.22,3,0.04,2327.67
03/11/2022,East,Furniture,Chairs,637.28,2,0.32,866.7
25/07/2022,North,Electronics,Laptops,729.56,8,0.37,3676.98
23/11/2021,South,Furniture,Tables,998.92,6,0.13,5214.36
04/11/2022,West,Office Supplies,Labels,331.11,3,0.37,625.8
18/09/2019,North,Furniture,Bookcases,554.99,7,0.29,2758.3
04/03/2019,South,Office Supplies,Art,131.44,3,0.1,354.89
02/07/2021,South,Electronics,Accessories,936.55,7,0.24,4982.45
