HireDate,TerminationDate,JobTitle,Department,Salary,Gender
18/06/2022,01/09/2022,Human Resources,Sales,95324.2,Female
17/12/2020,03/01/2022,Sales Representative,Design,57106.39,Male
30/09/2018,15/11/2020,Sales Representative,Sales,86702.12,Female
14/01/2021,09/09/2022,Designer,Marketing,79660.86,Male
05/08/2020,05/07/2022,Data Scientist,Design,39549.02,Female
15/12/2020,22/02/2022,Designer,Sales,126392.17,Male
19/09/2019,21/12/2022,Product Manager,Product,38637.15,Male
05/12/2022,19/12/2022,Human Resources,Data Science,112886.13,Male
01/12/2020,03/12/2021,Designer,Engineering,126149.13,Female
30/04/2018,24/04/2022,Software Engineer,Engineering,49969.44,Male
20/05/2018,22/11/2019,Sales Representative,Design,81936.37,Female
18/08/2019,09/11/2019,Data Scientist,Marketing,59660.85,Female
15/09/2020,31/12/2021,Product Manager,Engineering,40862.34,Male
26/10/2018,02/04/2019,Human Resources,Product,70043.53,Female
20/09/2021,29/12/2022,Data Scientist,Human Resources,78897.52,Female
08/07/2020,01/01/2021,Designer,Marketing,48646.23,Female
03/03/2021,09/10/2021,Human Resources,Product,83508.27,Male
25/02/2020,06/08/2022,Designer,Design,92494.91,Female
19/09/2021,16/04/2022,Designer,Data Science,73788.06,Male
09/12/2020,08/11/2022,Marketing Manager,Product,39852.51,Female
07/01/2018,10/02/2019,Data Scientist,Design,53723.5,Male
23/07/2020,04/05/2021,Sales Representative,Design,32929.72,Female
21/02/2021,08/09/2021,Marketing Manager,Data Science,48496.88,Male
02/07/2020,05/12/2022,Designer,Marketing,59659.25,Male
15/04/2018,10/09/2021,Data Scientist,Human Resources,112054.86,Female
06/10/2019,10/10/2019,Marketing Manager,Data Science,103786.55,Female
01/08/2020,05/09/2020,Human Resources,Engineering,53532.92,Male
31/05/2019,07/09/2021,Sales Representative,Design,84730.15,Male
19/11/2018,02/05/2022,Software Engineer,Engineering,38391.62,Female
26/02/2020,22/06/2020,Data Scientist,Product,87497.53,Female
29/08/2019,07/04/2021,Human Resources,Human Resources,25361.58,Male
14/02/2018,12/02/2022,Product Manager,Sales,42744.53,Female
08/02/2019,20/11/2021,Marketing Manager,Engineering,102712.69,Female
09/01/2018,03/11/2022,Human Resources,Data Science,67542.86,Female
24/05/2022,29/07/2022,Sales Representative,Data Science,53102.63,Female
17/03/2018,16/07/2018,Designer,Product,102252.64,Male
22/09/2020,09/07/2021,Data Scientist,Marketing,28370.59,Female
04/12/2021,18/12/2021,Designer,Engineering,96018.88,Male
26/01/2020,28/11/2020,Human Resources,Marketing,62499.13,Male
21/11/2020,21/12/2022,Software Engineer,Design,107554.49,Female
26/10/2020,24/05/2022,Designer,Engineering,54131.5,Female
05/05/2018,21/02/2019,Product Manager,Product,62441.54,Female
24/12/2019,30/05/2022,Designer,Product,80248,Female
20/09/2021,31/07/2022,Marketing Manager,Sales,127638.42,Male
18/10/2022,23/11/2022,Human Resources,Marketing,77979.98,Male
22/06/2021,11/07/2022,Data Scientist,Sales,108780.98,Female
03/04/2021,26/01/2022,Designer,Engineering,63913.97,Female
01/12/2019,10/12/2022,Product Manager,Human Resources,92783.38,Male
23/12/2020,11/02/2022,Human Resources,Sales,28849.54,Male
01/04/2018,28/01/2019,Software Engineer,Engineering,79706.82,Male
20/12/2019,11/11/2022,Product Manager,Data Science,79479.54,Male
20/10/2018,12/04/2022,Sales Representative,Data Science,47112.26,Male
06/03/2021,20/06/2022,Product Manager,Data Science,63208.85,Female
30/01/2020,10/10/2021,Designer,Data Science,44920.08,Male
19/02/2020,30/10/2021,Data Scientist,Product,38360.96,Male
07/01/2020,30/10/2021,Software Engineer,Sales,55274.42,Female
14/03/2020,19/05/2020,Human Resources,Data Science,69388.46,Male
08/08/2021,25/02/2022,Product Manager,Marketing,109449.46,Male
02/07/2018,21/09/2020,Software Engineer,Data Science,45732.34,Female
05/09/2022,06/09/2022,Data Scientist,Product,89406.48,Female
24/08/2021,15/12/2021,Software Engineer,Data Science,121812.55,Female
16/05/2019,30/07/2020,Data Scientist,Sales,70671.98,Male
02/10/2021,10/10/2022,Product Manager,Human Resources,78357.34,Male
02/01/2020,25/07/2022,Product Manager,Product,78329.15,Female
25/08/2020,06/09/2022,Sales Representative,Sales,74439.89,Female
22/04/2020,01/01/2021,Sales Representative,Product,55100.66,Male
27/10/2022,21/11/2022,Designer,Engineering,84768.76,Male
22/08/2022,28/12/2022,Product Manager,Design,67190.48,Female
30/11/2021,25/04/2022,Human Resources,Sales,39624.82,Female
24/02/2019,13/01/2022,Data Scientist,Design,59276.97,Male
27/05/2021,29/10/2022,Designer,Product,90581.15,Female
25/06/2018,29/10/2021,Designer,Data Science,109368.37,Female
27/01/2021,12/08/2021,Human Resources,Sales,47644.16,Female
19/07/2019,11/04/2020,Data Scientist,Human Resources,75847.03,Male
17/04/2018,07/09/2020,Product Manager,Data Science,40540.97,Female
14/03/2022,21/10/2022,Sales Representative,Product,43382.68,Male
05/03/2019,05/10/2021,Product Manager,Engineering,104645.07,Male
19/05/2019,17/11/2019,Sales Representative,Sales,53755.19,Male
25/03/2020,10/06/2020,Human Resources,Product,127198.49,Male
08/06/2019,23/04/2022,Data Scientist,Data Science,53420.92,Female
13/09/2018,17/11/2021,Data Scientist,Engineering,65542.81,Female
09/08/2020,26/08/2022,Human Resources,Marketing,84722.33,Male
19/09/2018,21/04/2020,Sales Representative,Marketing,41455.6,Female
05/08/2019,24/01/2020,Product Manager,Engineering,56562.44,Male
01/12/2020,09/10/2021,Sales Representative,Sales,98160.5,Male
14/08/2022,17/11/2022,Human Resources,Product,42936.55,Male
04/09/2019,12/11/2022,Human Resources,Marketing,96202.93,Male
23/02/2021,04/08/2021,Product Manager,Product,88357.28,Female
27/01/2022,30/09/2022,Marketing Manager,Marketing,57429.26,Male
22/05/2018,13/06/2022,Sales Representative,Human Resources,50586.49,Female
07/05/2021,24/09/2021,Human Resources,Data Science,84777.84,Male
17/11/2020,30/04/2022,Sales Representative,Design,79180.71,Female
01/04/2020,07/12/2020,Designer,Product,29480.76,Female
09/06/2020,25/04/2022,Software Engineer,Sales,94190.82,Male
31/10/2018,31/07/2021,Software Engineer,Data Science,20544.08,Female
20/05/2018,11/04/2021,Product Manager,Human Resources,34498.8,Female
15/08/2018,07/06/2020,Sales Representative,Design,55609.31,Male
03/10/2018,24/04/2019,Product Manager,Data Science,56252.46,Male
28/03/2018,31/10/2019,Sales Representative,Marketing,75724.5,Female
16/09/2021,26/11/2022,Data Scientist,Data Science,69434.69,Male
08/12/2020,23/06/2022,Designer,Sales,78122.83,Female
16/11/2021,01/10/2022,Designer,Product,98640.26,Male
21/01/2021,02/11/2022,Sales Representative,Design,81081.14,Male
29/11/2018,19/02/2020,Product Manager,Sales,47947.66,Male
27/03/2020,16/02/2022,Product Manager,Human Resources,103661.64,Male
24/07/2021,14/08/2022,Sales Representative,Engineering,102735,Male
02/11/2021,28/08/2022,Data Scientist,Product,97172.49,Male
26/04/2022,28/05/2022,Data Scientist,Engineering,71442.81,Male
13/06/2022,08/12/2022,Software Engineer,Design,42905.79,Female
27/10/2021,09/11/2022,Marketing Manager,Design,62720.58,Female
17/04/2020,01/06/2020,Data Scientist,Marketing,42783.68,Female
27/09/2022,29/12/2022,Human Resources,Design,63388.53,Female
12/01/2019,28/10/2020,Sales Representative,Design,25946.14,Female
21/08/2018,05/04/2020,Designer,Sales,47120.95,Female
08/01/2019,01/10/2019,Marketing Manager,Sales,52170.53,Female
13/02/2022,07/04/2022,Product Manager,Sales,137854.21,Male
04/05/2022,22/05/2022,Human Resources,Data Science,90879.91,Male
08/01/2018,03/12/2018,Human Resources,Data Science,34811.52,Female
30/06/2022,10/09/2022,Data Scientist,Data Science,117396.68,Female
30/03/2018,24/10/2021,Product Manager,Data Science,93396.97,Male
20/08/2022,05/10/2022,Sales Representative,Sales,46483.77,Male
16/11/2020,18/03/2021,Human Resources,Marketing,40369.83,Female
09/01/2019,19/02/2019,Software Engineer,Sales,68636.04,Male
14/12/2021,01/06/2022,Product Manager,Sales,65269.7,Female
22/08/2019,02/02/2021,Product Manager,Design,54753.42,Male
28/10/2019,01/08/2021,Software Engineer,Design,82545.24,Female
15/02/2022,20/10/2022,Product Manager,Marketing,52797.34,Male
17/06/2021,05/11/2022,Marketing Manager,Data Science,52619.92,Female
13/08/2022,05/09/2022,Human Resources,Data Science,54341.72,Male
05/11/2019,10/12/2022,Human Resources,Marketing,123333.62,Male
25/10/2019,15/09/2021,Marketing Manager,Human Resources,40689.5,Male
13/08/2018,02/10/2019,Product Manager,Design,52860.75,Female
23/07/2022,06/08/2022,Data Scientist,Human Resources,85339.05,Female
21/05/2020,15/12/2022,Human Resources,Engineering,54667.05,Male
06/05/2019,20/03/2020,Human Resources,Engineering,90532.73,Female
06/03/2018,19/06/2019,Designer,Human Resources,104396.56,Female
26/12/2020,27/02/2021,Marketing Manager,Design,68814.34,Female
02/10/2019,30/03/2022,Human Resources,Data Science,69211.24,Female
10/07/2020,18/03/2021,Human Resources,Data Science,42724.93,Male
19/10/2021,11/10/2022,Human Resources,Marketing,79586.44,Female
07/03/2019,21/09/2021,Data Scientist,Marketing,75304.79,Female
11/03/2019,10/08/2022,Marketing Manager,Product,65000.53,Female
14/03/2018,27/11/2018,Data Scientist,Engineering,53767.71,Female
28/11/2019,23/05/2022,Software Engineer,Human Resources,91261.84,Male
27/07/2018,08/02/2021,Human Resources,Engineering,42022.88,Male
20/06/2021,16/12/2022,Data Scientist,Design,47441.83,Female
13/05/2022,05/07/2022,Designer,Design,51337.03,Male
08/09/2021,06/09/2022,Marketing Manager,Engineering,61933.64,Female
22/06/2019,09/08/2019,Sales Representative,Sales,43285.22,Male
10/11/2022,04/12/2022,Designer,Sales,73056.46,Female
05/02/2019,08/08/2020,Software Engineer,Sales,45312.3,Male
11/01/2022,10/02/2022,Sales Representative,Product,35727.85,Female
28/01/2020,22/08/2022,Marketing Manager,Sales,43594.69,Female
15/09/2022,04/11/2022,Marketing Manager,Engineering,143054.93,Female
19/02/2022,14/09/2022,Human Resources,Engineering,45548.18,Male
07/01/2020,09/04/2022,Software Engineer,Product,106460.17,Female
07/07/2020,07/06/2022,Human Resources,Design,51277.55,Female
28/03/2021,07/04/2022,Marketing Manager,Design,110436.47,Female
08/09/2022,18/12/2022,Product Manager,Design,67435.35,Female
14/04/2020,19/11/2021,Sales Representative,Human Resources,70464.31,Female
01/12/2020,16/01/2021,Sales Representative,Marketing,57164.18,Female
10/10/2021,15/07/2022,Software Engineer,Engineering,38430.87,Female
22/06/2020,04/06/2022,Human Resources,Human Resources,84933.75,Male
09/04/2019,07/05/2022,Designer,Human Resources,44315.59,Male
23/06/2019,16/11/2019,Product Manager,Engineering,31993.42,Male
10/04/2022,20/04/2022,Data Scientist,Human Resources,88931.59,Male
16/04/2020,24/02/2021,Product Manager,Product,57679.92,Female
29/07/2022,26/09/2022,Designer,Sales,77628.47,Female
26/03/2020,03/11/2021,Software Engineer,Data Science,39991.39,Male
01/08/2020,11/02/2021,Data Scientist,Human Resources,54164.8,Male
20/04/2019,29/09/2020,Designer,Product,58982.54,Male
06/05/2022,27/05/2022,Designer,Data Science,57714.02,Female
16/06/2018,22/07/2019,Marketing Manager,Human Resources,87471.85,Male
30/09/2020,05/03/2022,Sales Representative,Human Resources,155247.06,Female
22/09/2018,11/05/2021,Data Scientist,Marketing,94277.33,Male
03/02/2021,05/10/2021,Designer,Sales,92078.7,Male
18/01/2020,11/08/2020,Human Resources,Engineering,94647.8,Female
28/01/2021,13/05/2022,Human Resources,Sales,34700.65,Female
15/12/2019,07/06/2020,Product Manager,Data Science,160501.18,Male
08/10/2021,07/11/2021,Data Scientist,Human Resources,97973.79,Male
